"","trdar_cd_nm","long","lat"
"1","백제고분로34길",37.51452063,127.0825549
"2","백제고분로39길",37.51452063,127.0825549
"3","백제고분로42길",37.51452063,127.0825549
"4","백제고분로45길",37.51452063,127.0825549
"5","백제고분로46길",37.51452063,127.0825549
"6","백제고분로50길",37.51452063,127.0825549
"7","강동대로53길",37.525915,127.132565
"8","고덕로10길",37.552988,127.129738
"9","고덕로25길",37.552988,127.129738
"10","고덕로61길",37.552988,127.129738
"11","구천면로36길",37.543091,127.131727
"12","동남로65길",37.497241,127.132496
"13","동남로82길",37.497241,127.132496
"14","동남로85길",37.497241,127.132496
"15","명일로13길",37.48263347,126.8567884
"16","상암로14길",37.55086036,127.1253223
"17","상암로4길",37.55086036,127.1253223
"18","상암로51길",37.55086036,127.1253223
"19","상암로5길",37.55086036,127.1253223
"20","상일로5길",37.556303,127.165469
"21","성내로5길",37.530568,127.120683
"22","성안로3길",37.530281,127.12092
"23","양재대로116길",37.532666,127.13561
"24","양재대로124길",37.532666,127.13561
"25","양재대로95길",37.532666,127.13561
"26","양재대로96길",37.532666,127.13561
"27","올림픽로48길",37.529959,127.120314
"28","올림픽로71길",37.529959,127.120314
"29","올림픽로77길",37.529959,127.120314
"30","올림픽로78길",37.529959,127.120314
"31","올림픽로80길",37.529959,127.120314
"32","올림픽로98길",37.529959,127.120314
"33","천호대로197길",37.557258,127.079432
"34","천호대로219길",37.557258,127.079432
"35","진황도로27길",37.540433,127.132465
"36","천중로51길",37.54552325,127.1264018
"37","천호대로187길",37.557258,127.079432
"38","삼전로13길",37.504286,127.088044
"39","송이로23길",37.50324019,127.1168063
"40","송이로32길",37.50324019,127.1168063
"41","송이로36길",37.50324019,127.1168063
"42","송파대로30길",37.494798,127.119144
"43","양재대로62길",37.532666,127.13561
"44","양재대로64길",37.532666,127.13561
"45","양재대로71길",37.532666,127.13561
"46","양재대로72길",37.532666,127.13561
"47","오금로46길",37.501968,127.12816
"48","풍성로25길",37.53487803,127.115468
"49","도봉산4길",37.61872738,127.0288197
"50","백제고분로32길",37.51452063,127.0825549
"51","계동길",37.579137,126.986718
"52","난계로27길",37.566397,127.022129
"53","돈화문로11가길",37.56960931,126.9920386
"54","명륜길",37.588741,126.995117
"55","백석동길",37.592999,126.965773
"56","북촌로11길",37.581891,126.984973
"57","북촌로5길",37.581891,126.984973
"58","북촌로5나길",37.581891,126.984973
"59","삼청로5길",37.58331,126.981769
"60","성균관로5길",37.58348026,126.9981814
"61","숭인동길",37.577171,127.022024
"62","옥인길",37.581492,126.965683
"63","율곡로10길",37.5759,126.99815
"64","율곡로16길",37.5759,126.99815
"65","이화장길",37.57722,127.004468
"66","자하문로7길",37.5767128,126.9722056
"67","종로24길",37.57103,127.001791
"68","종로58가길",37.57103,127.001791
"69","종로65길",37.57103,127.001791
"70","지봉로8길",37.571899,127.0159788
"71","창경궁로35길",37.56559334,126.9979752
"72","창신2길",37.571675,127.011287
"73","창신5길",37.571675,127.011287
"74","창신길",37.571675,127.011287
"75","통일로12길",37.565065,126.965662
"76","평창길",37.608705,126.973004
"77","필운대로1길",37.581461,126.968471
"78","난계로11길",37.566397,127.022129
"79","난계로21길",37.566397,127.022129
"80","다산로33길",37.562451,127.014904
"81","다산로36길",37.562451,127.014904
"82","다산로38길",37.562451,127.014904
"83","다산로39길",37.562451,127.014904
"84","동호로10길",37.554749,127.01066
"85","동호로11길",37.554749,127.01066
"86","동호로15길",37.554749,127.01066
"87","동호로20길",37.554749,127.01066
"88","동호로8길",37.554749,127.01066
"89","명동길",37.563822,126.98503
"90","삼일대로4길",37.575079,126.986873
"91","장충단로8길",37.562302,127.008345
"92","청구로17길",37.560127,127.013705
"93","청구로1길",37.560127,127.013705
"94","퇴계로12길",37.557079,126.981478
"95","퇴계로18길",37.557079,126.981478
"96","퇴계로46길",37.557079,126.981478
"97","퇴계로56길",37.557079,126.981478
"98","퇴계로8길",37.557079,126.981478
"99","퇴계로90길",37.557079,126.981478
"100","녹사평대로11길",37.522204,126.993485
"101","녹사평대로26길",37.522204,126.993485
"102","녹사평대로32길",37.522204,126.993485
"103","녹사평대로40나길",37.522204,126.993485
"104","녹사평대로46길",37.522204,126.993485
"105","대사관로34길",37.53342012,127.0018326
"106","두텁바위로1길",37.545921,126.978687
"107","백범로79길",37.545766,126.946785
"108","백범로90길",37.545766,126.946785
"109","서빙고로71길",37.523281,126.995798
"110","소월로20길",37.55786287,126.9756284
"111","신흥로20길",37.546382,126.984901
"112","우사단로10길",37.53115223,126.9967963
"113","우사단로14길",37.53115223,126.9967963
"114","우사단로4길",37.53115223,126.9967963
"115","원효로19길",37.532873,126.951391
"116","원효로41길",37.532873,126.951391
"117","원효로53길",37.532873,126.951391
"118","원효로89길",37.532873,126.951391
"119","이촌로22길",37.52972162,126.9537514
"120","이태원로27길",37.534538,126.995571
"121","이태원로54길",37.534538,126.995571
"122","장문로45길",37.52745968,126.9953845
"123","청파로47길",37.538811,126.961706
"124","청파로47나길",37.538811,126.961706
"125","청파로71길",37.538811,126.961706
"126","청파로73길",37.538811,126.961706
"127","한강대로104길",37.534953,126.973142
"128","한강대로15길",37.534953,126.973142
"129","한강대로43길",37.534953,126.973142
"130","한강대로52길",37.534953,126.973142
"131","한강대로62길",37.534953,126.973142
"132","한강대로7길",37.534953,126.973142
"133","한강대로88길",37.534953,126.973142
"134","한남대로20길",37.538188,127.004339
"135","회나무로13길",37.53885481,126.9882756
"136","효창원로39길",37.53549743,126.953606
"137","후암로28길",37.54852081,126.9780025
"138","고산자로6길",37.557521,127.035104
"139","금호산2길",37.548812,127.021255
"140","금호산길",37.548812,127.021255
"141","둘레9길",37.535879,127.053448
"142","뚝섬로5길",37.54145,127.045675
"143","마장로27길",37.561073,127.038804
"144","마장로39길",37.561073,127.038804
"145","마조로16길",37.56661,127.043836
"146","마조로1길",37.56661,127.043836
"147","매봉길",37.545097,127.01608
"148","무수막길",37.55096,127.023041
"149","무학로6길",37.570827,127.030452
"150","무학봉28길",37.570827,127.030452
"151","무학봉길",37.570827,127.030452
"152","사근동길",37.560837,127.045877
"153","상원12길",37.550616,127.049718
"154","상원길",37.550616,127.049718
"155","서울숲2길",37.54799,127.04196
"156","성덕정17길",37.537815,127.055303
"157","성덕정길",37.537815,127.055303
"158","성수이로18길",37.53684035,127.0541395
"159","성수이로7길",37.53684035,127.0541395
"160","성수일로6길",37.53684035,127.0541395
"161","송정12라길",37.550958,127.068041
"162","송정4가길",37.550958,127.068041
"163","아차산로11길",37.545035,127.104117
"164","아차산로15길",37.545035,127.104117
"165","아차산로5길",37.545035,127.104117
"166","왕십리로14길",37.560758,127.038703
"167","왕십리로21길",37.560758,127.038703
"168","왕십리로26길",37.560758,127.038703
"169","왕십리로31길",37.560758,127.038703
"170","왕십리로6길",37.560758,127.038703
"171","용답29길",37.563744,127.052805
"172","용답중앙길",37.563744,127.052805
"173","장터길",37.548354,127.018706
"174","청계천로10나길",37.570231,127.036929
"175","한림말3길",37.542353,127.015849
"176","한림말길",37.542353,127.015849
"177","광나루로12길",37.54715,127.067735
"178","광나루로24길",37.54715,127.067735
"179","광나루로36길",37.54715,127.067735
"180","광나루로37길",37.54715,127.067735
"181","광나루로40길",37.54715,127.067735
"182","광나루로52길",37.54715,127.067735
"183","긴고랑로20길",37.56339164,127.0786272
"184","긴고랑로7길",37.56339164,127.0786272
"185","긴고랑로8길",37.56339164,127.0786272
"186","긴고랑로9길",37.56339164,127.0786272
"187","능동로13길",37.539947,127.070663
"188","능동로19길",37.539947,127.070663
"189","능동로34길",37.539947,127.070663
"190","능동로3길",37.539947,127.070663
"191","능동로4길",37.539947,127.070663
"192","동일로18길",37.654307,127.060636
"193","동일로24길",37.654307,127.060636
"194","뚝섬로23길",37.54145,127.045675
"195","뚝섬로24길",37.54145,127.045675
"196","뚝섬로48길",37.54145,127.045675
"197","뚝섬로54길",37.54145,127.045675
"198","뚝섬로58길",37.54145,127.045675
"199","뚝섬로64길",37.54145,127.045675
"200","면목로17길",37.55569307,127.0754976
"201","아차산로40길",37.545035,127.104117
"202","아차산로51길",37.545035,127.104117
"203","아차산로55길",37.545035,127.104117
"204","아차산로65길",37.545035,127.104117
"205","아차산로78길",37.545035,127.104117
"206","용마산로21길",37.5626168,127.0873197
"207","용마산로3길",37.5626168,127.0873197
"208","자양로11길",37.537113,127.082396
"209","자양로15길",37.537113,127.082396
"210","자양로26길",37.537113,127.082396
"211","자양로45길",37.537113,127.082396
"212","자양로50길",37.537113,127.082396
"213","자양로53길",37.537113,127.082396
"214","자양번영로3길",37.537113,127.082396
"215","천호대로109길",37.557258,127.079432
"216","천호대로123길",37.557258,127.079432
"217","천호대로129길",37.557258,127.079432
"218","경희대로3길",37.59199423,127.0521448
"219","경희대로4길",37.59199423,127.0521448
"220","난계로30길",37.566397,127.022129
"221","답십리로23길",37.572865,127.057485
"222","답십리로56길",37.572865,127.057485
"223","답십리로60길",37.572865,127.057485
"224","답십리로63길",37.572865,127.057485
"225","답십리로64길",37.572865,127.057485
"226","답십리로68길",37.572865,127.057485
"227","답십리로69길",37.572865,127.057485
"228","답십리로72길",37.572865,127.057485
"229","망우로18가길",37.58782697,127.0558
"230","망우로18길",37.58782697,127.0558
"231","망우로21길",37.58782697,127.0558
"232","무학로16길",37.570827,127.030452
"233","무학로45길",37.570827,127.030452
"234","사가정로13길",37.57832,127.058119
"235","사가정로23가길",37.57832,127.058119
"236","사가정로2길",37.57832,127.058119
"237","서울시립대로16길",37.54799,127.04196
"238","서울시립대로29길",37.54799,127.04196
"239","서울시립대로4길",37.54799,127.04196
"240","약령시로17길",37.582826,127.037219
"241","왕산로32길",37.579937,127.044836
"242","왕산로33길",37.579937,127.044836
"243","왕산로43길",37.579937,127.044836
"244","이문로42길",37.59107241,127.0568703
"245","장한로14길",37.5626093,127.0657533
"246","장한로25길",37.5626093,127.0657533
"247","장한로26가길",37.5626093,127.0657533
"248","장한로26길",37.5626093,127.0657533
"249","장한로27가길",37.5626093,127.0657533
"250","장한로27길",37.5626093,127.0657533
"251","장한로5길",37.5626093,127.0657533
"252","장한로8길",37.5626093,127.0657533
"253","전농로29길",37.579644,127.050443
"254","전농로3길",37.579644,127.050443
"255","전농로4길",37.579644,127.050443
"256","제기로21길",37.58690548,127.0353505
"257","제기로5길",37.58690548,127.0353505
"258","천장산로7길",37.597763,127.06087
"259","천호대로12길",37.557258,127.079432
"260","천호대로17길",37.557258,127.079432
"261","천호대로45길",37.557258,127.079432
"262","천호대로77길",37.557258,127.079432
"263","천호대로97길",37.557258,127.079432
"264","한천로14길",37.5704795,127.0646198
"265","한천로33길",37.5704795,127.0646198
"266","한천로40길",37.5704795,127.0646198
"267","한천로46길",37.5704795,127.0646198
"268","휘경로14길",37.59569568,127.0615276
"269","휘경로23길",37.59569568,127.0615276
"270","휘경로2길",37.59569568,127.0615276
"271","휘경로3길",37.59569568,127.0615276
"272","겸재로29길",37.590097,127.085492
"273","겸재로36길",37.590097,127.085492
"274","겸재로54길",37.590097,127.085492
"275","공릉로12가길",37.61170879,127.0777932
"276","공릉로2길",37.61170879,127.0777932
"277","답십리로75길",37.572865,127.057485
"278","동일로100길",37.654307,127.060636
"279","동일로101길",37.654307,127.060636
"280","동일로112길",37.654307,127.060636
"281","동일로123길",37.654307,127.060636
"282","동일로130길",37.654307,127.060636
"283","동일로139가길",37.654307,127.060636
"284","동일로139길",37.654307,127.060636
"285","동일로140길",37.654307,127.060636
"286","동일로149길",37.654307,127.060636
"287","동일로157길",37.654307,127.060636
"288","동일로163길",37.654307,127.060636
"289","망우로68길",37.58782697,127.0558
"290","망우로73길",37.58782697,127.0558
"291","면목로21길",37.55569307,127.0754976
"292","면목로33길",37.55569307,127.0754976
"293","면목로45길",37.55569307,127.0754976
"294","면목로48길",37.55569307,127.0754976
"295","면목로49길",37.55569307,127.0754976
"296","면목로55길",37.55569307,127.0754976
"297","면목로56길",37.55569307,127.0754976
"298","면목로78길",37.55569307,127.0754976
"299","봉우재로33길",37.59045435,127.0769625
"300","봉화산로30길",37.603791,127.089621
"301","봉화산로4길",37.603791,127.089621
"302","봉화산로56길",37.603791,127.089621
"303","사가정로42길",37.57832,127.058119
"304","사가정로54길",37.57832,127.058119
"305","신내로7가길",37.59985853,127.096839
"306","용마산로100길",37.5626168,127.0873197
"307","용마산로112길",37.5626168,127.0873197
"308","용마산로118길",37.5626168,127.0873197
"309","용마산로94길",37.5626168,127.0873197
"310","중랑천로10길",37.602048,127.073932
