"","trdar_cd_nm","lon","lat"
"2289","난곡로26길",126.9233044,37.4699559
"2305","난곡로34길",126.9208969,37.472252
"2321","난곡로74길",126.9168364,37.4863431
"2337","난우길",126.9177036,37.4760578
"2353","난향길",126.916301,37.4629311
"2369","남부순환로112길",126.8937309,37.4772941
"2385","남부순환로11길",126.81476,37.5557435
"2401","남부순환로142길",126.9123123,37.4790127
"2417","남부순환로151길",126.9163862,37.4834482
"2433","남부순환로161길",126.9200172,37.4844159
"2449","남부순환로172길",126.923476,37.482695
"2465","남부순환로234길",126.9565368,37.477174
"2481","남부순환로248길",126.9659311,37.4736656
"2497","남부순환로317길",127.0105062,37.4814732
"2513","남부순환로325길",127.0144183,37.4816084
"2529","남부순환로339길",127.0219325,37.4851507
"2545","남부순환로33길",126.8309939,37.5382535
"2561","남부순환로365길",127.0398099,37.4875841
"2577","남부순환로40길",126.8259497,37.5332835
"2593","남부순환로58길",126.8308772,37.5298965
"2609","남부순환로70길",126.8352166,37.521906
"2625","남부순환로79길",126.842573,37.5177882
"2641","남부순환로88길",126.8407678,37.5114184
"2657","남부순환로97길",126.8589972,37.4939194
"2673","남현2길",126.9748151,37.4753416
"2689","남현3길",126.9785378,37.47497
"2705","남현길",126.9758399,37.4738572
"2721","노량진로6길",126.9361213,37.5109252
"2737","노해로17길",127.0201303,37.6404746
"2753","노해로23길",127.0203077,37.6457744
"2769","노해로33길",127.0214865,37.6474177
"2785","노해로60길",127.0337378,37.6488791
"2801","노해로63다길",127.0457618,37.6544893
"2817","녹사평대로11길",126.99317,37.5221978
"2833","녹사평대로26길",126.9931554,37.5313169
"2849","녹사평대로32길",126.9904918,37.5328424
"2865","녹사평대로40나길",126.988913,37.5364348
"2881","녹사평대로46길",126.9889937,37.5374041
"2897","논현로106길",127.0370746,37.5065956
"2913","논현로10길",127.0497913,37.4743815
"2929","논현로115길",127.0299422,37.5084525
"2945","논현로123길",127.0293954,37.5110401
"2961","논현로139길",127.0277812,37.5162464
"2977","논현로159길",127.0255777,37.522559
"2993","논현로1길",127.0489506,37.4707065
"3009","논현로26길",127.0454157,37.4833156
"3025","논현로27길",127.0412308,37.4792167
"3041","논현로28길",127.0445245,37.4834909
"3057","논현로63길",127.0379488,37.4921786
"3073","논현로8길",127.0517868,37.4744665
"3089","능동로13길",127.0696518,37.5444143
"3105","능동로19길",127.071806,37.5471414
"3121","능동로34길",127.084026,37.5539409
"3137","능동로3길",127.0649879,37.5339857
"3153","능동로4길",127.0701616,37.5319771
"3169","다산로33길",127.0123033,37.5633821
"3185","다산로36길",127.0184523,37.5608659
"3201","다산로38길",127.0070317,37.5481325
"3217","다산로39길",127.01342,37.5642701
"3233","답십리로23길",127.0507775,37.578608
"3249","답십리로56길",127.05883,37.5696058
"3265","답십리로60길",127.0636324,37.569977
"3281","답십리로63길",127.0688895,37.5755771
"3297","답십리로64길",127.065729,37.5694402
"3313","답십리로68길",127.0678859,37.5689446
"3329","답십리로69길",127.0740178,37.5756875
"3345","답십리로72길",127.0726329,37.5687959
"3361","답십리로75길",127.0809232,37.5743705
"3377","당곡길",126.9285645,37.4905772
"3393","당산로31길",126.894588,37.5270073
"3409","당산로37길",126.8976412,37.5297178
"3425","당산로38길",126.8994452,37.5290259
"3441","당산로46길",126.9046031,37.5332622
"3457","대림로22길",126.9034189,37.4949045
"3473","대림로29길",126.8962836,37.4945265
"3489","대림로31길",126.896017,37.4962399
"3505","대림로34길",126.9006513,37.4997882
"3521","대림로44길",126.8979388,37.5028744
"3537","대림로7길",126.9039882,37.4891019
"3553","대림로8길",126.9059395,37.4915578
"3569","대방동27길",126.9241549,37.5025689
"3585","대방동2길",126.9279559,37.5018531
"3601","대사관로34길",127.0057683,37.5312026
"3617","대학14길",126.9356277,37.4656632
"3633","대학길",126.9382275,37.4668354
"3649","대흥로21길",126.9440734,37.5532508
"3665","대흥로28길",126.9472639,37.5552531
"3681","덕릉로40길",127.0318339,37.6340142
"3697","덕릉로41길",127.0289728,37.6373968
"3713","덕릉로60길",127.0445914,37.6312489
"3729","도곡로37길",127.0447955,37.4955791
"3745","도당로13가길",127.0385755,37.6670432
"3761","도당로13바길",127.0362243,37.6683744
"3777","도당로19길",127.0394536,37.6692645
"3793","도당로29길",127.0420418,37.6692855
"3809","도림로112길",126.9024339,37.5091895
"3825","도림로12길",126.8890549,37.4867217
"3841","도림로147길",126.8889091,37.5155869
"3857","도림로63길",126.9028281,37.4993981
"3873","도림로6길",126.8867244,37.4851213
"3889","도림천로21길",126.9024981,37.4874784
"3905","도봉로109길",127.0301948,37.6475407
"3921","도봉로114길",127.0368443,37.6475056
"3937","도봉로13길",127.0345749,37.6662661
"3953","도봉로143길",127.039807,37.6619205
"3969","도봉로147길",127.0398432,37.6651558
"3985","도봉로152가길",127.0450049,37.6739277
"4001","도봉로156길",127.045602,37.67305
"4017","도봉로169나길",127.0434158,37.6768693
"4033","도봉로181길",127.042155,37.6852639
"4049","도봉로18길",127.0488039,37.6616965
"4065","도봉로45길",127.0236188,37.6237756
"4081","도봉로67길",127.0220894,37.6299041
"4097","도봉로76길",127.0255617,37.6333942
"4113","도봉로8길",127.032195,37.6119214
"4129","도봉로99길",127.02809,37.6428374
"4145","도봉산4길",127.0422625,37.6883645
"4161","도봉산길",127.0336271,37.6879391
"4177","도산대로15길",127.0237172,37.5201487
"4193","도산대로23길",127.0252861,37.5209584
"4209","도산대로30길",127.0303163,37.5183924
"4225","도산대로38길",127.0324768,37.5190888
"4241","도산대로50길",127.0376091,37.5206444
"4257","도산대로81길",127.0469625,37.5261123
"4273","도산대로89길",127.0510956,37.5258991
"4289","도신로15길",126.8972947,37.5076045
"4305","도신로29길",126.9048824,37.5092576
"4321","도신로60길",126.9175916,37.5104391
"4337","도신로62길",126.9196028,37.5100674
"4353","도화4길",126.951186,37.5399499
"4369","도화길",126.949725,37.5409204
"4385","독립문로8길",126.9601395,37.5673076
"4401","독막로22길",126.9283471,37.5464659
"4417","독막로32길",126.938245,37.546154
"4433","독막로8길",126.9179263,37.5468636
"4449","독산로108길",126.9065128,37.4796435
"4465","독산로40길",126.9076563,37.4609837
"4481","독산로50길",126.9092995,37.4620301
"4497","독산로64길",126.905516,37.4661597
"4513","독산로70길",126.9048111,37.4675247
"4529","독산로78다길",126.9054882,37.4698006
"4545","독산로85길",126.9021582,37.4723136
"4561","돈화문로11가길",126.9903073,37.5749095
"4577","돌곶이로14길",127.0613878,37.608624
"4593","돌곶이로22길",127.0604017,37.6101523
"4609","돌곶이로27길",127.0536588,37.6113382
"4625","돌곶이로28길",127.0610963,37.6070225
"4641","돌곶이로41길",127.0599191,37.6077808
"4657","돌곶이로8길",127.0636419,37.6069158
"4673","동광로12길",126.9853011,37.4885122
"4689","동광로1길",126.9838562,37.4940947
"4705","동광로39길",126.9995371,37.49656
"4721","동교로17길",126.914952,37.5573668
"4737","동교로19길",126.9170088,37.5575678
"4753","동교로25길",126.9205348,37.5588443
"4769","동교로27길",126.9217343,37.5596674
"4785","동교로38길",126.925644,37.5616698
"4801","동남로20길",127.1353722,37.494842
"4817","동남로65길",127.1543469,37.5477331
"4833","동남로82길",127.1604187,37.5601982
"4849","동남로85길",127.1546484,37.5613094
"4865","동산로10길",127.0462819,37.4704172
"4881","동산로19길",127.0465478,37.4740984
"4897","동소문로13길",127.0075191,37.5893626
"4913","동소문로15길",127.0144375,37.5939418
"4929","동소문로26가길",127.0216602,37.5946033
"4945","동소문로2길",127.0087616,37.5885622
"4961","동소문로6길",127.0080677,37.5884258
"4977","동일로100길",127.0818787,37.5893955
"4993","동일로101길",127.0761715,37.5886325
"5009","동일로112길",127.0834431,37.5933134
"5025","동일로123길",127.0765266,37.5985415
"5041","동일로130길",127.0825927,37.6001935
"5057","동일로139가길",127.0781412,37.6042345
"5073","동일로139길",127.0768776,37.6030811
"5089","동일로140길",127.0811019,37.6049285
"5105","동일로149길",127.0752812,37.6063533
"5121","동일로157길",127.0761756,37.6097359
"5137","동일로163길",127.0760553,37.6118501
"5153","동일로173가길",127.0726318,37.6216387
"5169","동일로18길",127.0666523,37.5388474
"5185","동일로192길",127.0760258,37.6268785
"5201","동일로242길",127.0577785,37.6749848
"5217","동일로24길",127.0683362,37.542888
"5233","동작대로17길",126.9796058,37.4829156
"5249","동작대로29길",126.97817,37.49006
"5265","동작대로33길",126.9801392,37.4902347
"5281","동작대로35길",126.9790948,37.4919155
"5297","동작대로7길",126.9790449,37.4783526
"5313","동호로10길",127.0126794,37.5552361
