"","trdar_cd_nm","한글id"
"1","계동길","계동"
"2","난계로27길","난계"
"3","돈화문로11가길","돈화"
"4","명륜길","명륜"
"5","백석동길","백석"
"6","북촌로11길","북촌"
"7","북촌로5길","북촌"
"8","북촌로5나길","북촌"
"9","삼청로5길","삼청"
"10","성균관로5길","성균"
"11","숭인동길","숭인"
"12","옥인길","옥인"
"13","율곡로10길","율곡"
"14","율곡로16길","율곡"
"15","이화장길","이화"
"16","자하문로7길","자하"
"17","종로24길","종로"
"18","종로58가길","종로"
"19","종로65길","종로"
"20","지봉로8길","지봉"
"21","창경궁로35길","창경"
"22","창신2길","창신"
"23","창신5길","창신"
"24","창신길","창신"
"25","통일로12길","통일"
"26","평창길","평창"
"27","필운대로1길","필운"
"28","난계로11길","난계"
"29","난계로21길","난계"
"30","다산로33길","다산"
"31","다산로36길","다산"
"32","다산로38길","다산"
"33","다산로39길","다산"
"34","동호로10길","동호"
"35","동호로11길","동호"
"36","동호로15길","동호"
"37","동호로20길","동호"
"38","동호로8길","동호"
"39","명동길","명동"
"40","삼일대로4길","삼일"
"41","장충단로8길","장충"
"42","청구로17길","청구"
"43","청구로1길","청구"
"44","퇴계로12길","퇴계"
"45","퇴계로18길","퇴계"
"46","퇴계로46길","퇴계"
"47","퇴계로56길","퇴계"
"48","퇴계로8길","퇴계"
"49","퇴계로90길","퇴계"
"50","녹사평대로11길","녹사"
"51","녹사평대로26길","녹사"
"52","녹사평대로32길","녹사"
"53","녹사평대로40나길","녹사"
"54","녹사평대로46길","녹사"
"55","대사관로34길","대사"
"56","두텁바위로1길","두텁"
"57","백범로79길","백범"
"58","백범로90길","백범"
"59","서빙고로71길","서빙"
"60","소월로20길","소월"
"61","신흥로20길","신흥"
"62","우사단로10길","우사"
"63","우사단로14길","우사"
"64","우사단로4길","우사"
"65","원효로19길","원효"
"66","원효로41길","원효"
"67","원효로53길","원효"
"68","원효로89길","원효"
"69","이촌로22길","이촌"
"70","이태원로27길","이태"
"71","이태원로54길","이태"
"72","장문로45길","장문"
"73","청파로47길","청파"
"74","청파로47나길","청파"
"75","청파로71길","청파"
"76","청파로73길","청파"
"77","한강대로104길","한강"
"78","한강대로15길","한강"
"79","한강대로43길","한강"
"80","한강대로52길","한강"
"81","한강대로62길","한강"
"82","한강대로7길","한강"
"83","한강대로88길","한강"
"84","한남대로20길","한남"
"85","회나무로13길","회나"
"86","효창원로39길","효창"
"87","후암로28길","후암"
"88","고산자로6길","고산"
"89","금호산2길","금호"
"90","금호산길","금호"
"91","둘레9길","둘레"
"92","뚝섬로5길","뚝섬"
"93","마장로27길","마장"
"94","마장로39길","마장"
"95","마조로16길","마조"
"96","마조로1길","마조"
"97","매봉길","매봉"
"98","무수막길","무수"
"99","무학로6길","무학"
"100","무학봉28길","무학"
"101","무학봉길","무학"
"102","사근동길","사근"
"103","상원12길","상원"
"104","상원길","상원"
"105","서울숲2길","서울"
"106","성덕정17길","성덕"
"107","성덕정길","성덕"
"108","성수이로18길","성수"
"109","성수이로7길","성수"
"110","성수일로6길","성수"
"111","송정12라길","송정"
"112","송정4가길","송정"
"113","아차산로11길","아차"
"114","아차산로15길","아차"
"115","아차산로5길","아차"
"116","왕십리로14길","왕십"
"117","왕십리로21길","왕십"
"118","왕십리로26길","왕십"
"119","왕십리로31길","왕십"
"120","왕십리로6길","왕십"
"121","용답29길","용답"
"122","용답중앙길","용답"
"123","장터길","장터"
"124","청계천로10나길","청계"
"125","한림말3길","한림"
"126","한림말길","한림"
"127","광나루로12길","광나"
"128","광나루로24길","광나"
"129","광나루로36길","광나"
"130","광나루로37길","광나"
"131","광나루로40길","광나"
"132","광나루로52길","광나"
"133","긴고랑로20길","긴고"
"134","긴고랑로7길","긴고"
"135","긴고랑로8길","긴고"
"136","긴고랑로9길","긴고"
"137","능동로13길","능동"
"138","능동로19길","능동"
"139","능동로34길","능동"
"140","능동로3길","능동"
"141","능동로4길","능동"
"142","동일로18길","동일"
"143","동일로24길","동일"
"144","뚝섬로23길","뚝섬"
"145","뚝섬로24길","뚝섬"
"146","뚝섬로48길","뚝섬"
"147","뚝섬로54길","뚝섬"
"148","뚝섬로58길","뚝섬"
"149","뚝섬로64길","뚝섬"
"150","면목로17길","면목"
"151","아차산로40길","아차"
"152","아차산로51길","아차"
"153","아차산로55길","아차"
"154","아차산로65길","아차"
"155","아차산로78길","아차"
"156","용마산로21길","용마"
"157","용마산로3길","용마"
"158","자양로11길","자양"
"159","자양로15길","자양"
"160","자양로26길","자양"
"161","자양로45길","자양"
"162","자양로50길","자양"
"163","자양로53길","자양"
"164","자양번영로3길","자양"
"165","천호대로109길","천호"
"166","천호대로123길","천호"
"167","천호대로129길","천호"
"168","경희대로3길","경희"
"169","경희대로4길","경희"
"170","난계로30길","난계"
"171","답십리로23길","답십"
"172","답십리로56길","답십"
"173","답십리로60길","답십"
"174","답십리로63길","답십"
"175","답십리로64길","답십"
"176","답십리로68길","답십"
"177","답십리로69길","답십"
"178","답십리로72길","답십"
"179","망우로18가길","망우"
"180","망우로18길","망우"
"181","망우로21길","망우"
"182","무학로16길","무학"
"183","무학로45길","무학"
"184","사가정로13길","사가"
"185","사가정로23가길","사가"
"186","사가정로2길","사가"
"187","서울시립대로16길","서울"
"188","서울시립대로29길","서울"
"189","서울시립대로4길","서울"
"190","약령시로17길","약령"
"191","왕산로32길","왕산"
"192","왕산로33길","왕산"
"193","왕산로43길","왕산"
"194","이문로42길","이문"
"195","장한로14길","장한"
"196","장한로25길","장한"
"197","장한로26가길","장한"
"198","장한로26길","장한"
