"","trdar_cd_nm","long","lat"
"160","자양로26길",37.537113,127.082396
"161","자양로45길",37.537113,127.082396
"162","자양로50길",37.537113,127.082396
"163","자양로53길",37.537113,127.082396
"164","자양번영로3길",37.537113,127.082396
"165","천호대로109길",37.557258,127.079432
"166","천호대로123길",37.557258,127.079432
"167","천호대로129길",37.557258,127.079432
"168","경희대로3길",37.59199423,127.0521448
"169","경희대로4길",37.59199423,127.0521448
"170","난계로30길",37.566397,127.022129
"171","답십리로23길",37.572865,127.057485
"172","답십리로56길",37.572865,127.057485
"173","답십리로60길",37.572865,127.057485
"174","답십리로63길",37.572865,127.057485
"175","답십리로64길",37.572865,127.057485
"176","답십리로68길",37.572865,127.057485
"177","답십리로69길",37.572865,127.057485
"178","답십리로72길",37.572865,127.057485
"179","망우로18가길",37.58782697,127.0558
"180","망우로18길",37.58782697,127.0558
"181","망우로21길",37.58782697,127.0558
"182","무학로16길",37.570827,127.030452
"183","무학로45길",37.570827,127.030452
"184","사가정로13길",37.57832,127.058119
"185","사가정로23가길",37.57832,127.058119
"186","사가정로2길",37.57832,127.058119
"187","서울시립대로16길",37.54799,127.04196
"188","서울시립대로29길",37.54799,127.04196
"189","서울시립대로4길",37.54799,127.04196
"190","약령시로17길",37.582826,127.037219
"191","왕산로32길",37.579937,127.044836
"192","왕산로33길",37.579937,127.044836
"193","왕산로43길",37.579937,127.044836
"194","이문로42길",37.59107241,127.0568703
"195","장한로14길",37.5626093,127.0657533
"196","장한로25길",37.5626093,127.0657533
"197","장한로26가길",37.5626093,127.0657533
"198","장한로26길",37.5626093,127.0657533
"199","장한로27가길",37.5626093,127.0657533
"200","장한로27길",37.5626093,127.0657533
"201","장한로5길",37.5626093,127.0657533
"202","장한로8길",37.5626093,127.0657533
"203","전농로29길",37.579644,127.050443
"204","전농로3길",37.579644,127.050443
"205","전농로4길",37.579644,127.050443
"206","제기로21길",37.58690548,127.0353505
"207","제기로5길",37.58690548,127.0353505
"208","천장산로7길",37.597763,127.06087
"209","천호대로12길",37.557258,127.079432
"210","천호대로17길",37.557258,127.079432
"211","천호대로45길",37.557258,127.079432
"212","천호대로77길",37.557258,127.079432
"213","천호대로97길",37.557258,127.079432
"214","한천로14길",37.5704795,127.0646198
"215","한천로33길",37.5704795,127.0646198
"216","한천로40길",37.5704795,127.0646198
"217","한천로46길",37.5704795,127.0646198
"218","휘경로14길",37.59569568,127.0615276
"219","휘경로23길",37.59569568,127.0615276
"220","휘경로2길",37.59569568,127.0615276
"221","휘경로3길",37.59569568,127.0615276
"222","겸재로29길",37.590097,127.085492
"223","겸재로36길",37.590097,127.085492
"224","겸재로54길",37.590097,127.085492
"225","공릉로12가길",37.61170879,127.0777932
"226","공릉로2길",37.61170879,127.0777932
"227","답십리로75길",37.572865,127.057485
"228","동일로100길",37.654307,127.060636
"229","동일로101길",37.654307,127.060636
"230","동일로112길",37.654307,127.060636
"231","동일로123길",37.654307,127.060636
"232","동일로130길",37.654307,127.060636
"233","동일로139가길",37.654307,127.060636
"234","동일로139길",37.654307,127.060636
"235","동일로140길",37.654307,127.060636
"236","동일로149길",37.654307,127.060636
"237","동일로157길",37.654307,127.060636
"238","동일로163길",37.654307,127.060636
"239","망우로68길",37.58782697,127.0558
"240","망우로73길",37.58782697,127.0558
"241","면목로21길",37.55569307,127.0754976
"242","면목로33길",37.55569307,127.0754976
"243","면목로45길",37.55569307,127.0754976
"244","면목로48길",37.55569307,127.0754976
"245","면목로49길",37.55569307,127.0754976
"246","면목로55길",37.55569307,127.0754976
"247","면목로56길",37.55569307,127.0754976
"248","면목로78길",37.55569307,127.0754976
"249","봉우재로33길",37.59045435,127.0769625
"250","봉화산로30길",37.603791,127.089621
"251","봉화산로4길",37.603791,127.089621
"252","봉화산로56길",37.603791,127.089621
"253","사가정로42길",37.57832,127.058119
"254","사가정로54길",37.57832,127.058119
"255","신내로7가길",37.59985853,127.096839
"256","용마산로100길",37.5626168,127.0873197
"257","용마산로112길",37.5626168,127.0873197
"258","용마산로118길",37.5626168,127.0873197
"259","용마산로94길",37.5626168,127.0873197
"260","중랑천로10길",37.602048,127.073932
"261","길음로7길",37.60416485,127.0239905
"262","돌곶이로14길",37.611574,127.056107
"263","돌곶이로22길",37.611574,127.056107
"264","돌곶이로27길",37.611574,127.056107
"265","돌곶이로28길",37.611574,127.056107
"266","돌곶이로41길",37.611574,127.056107
"267","돌곶이로8길",37.611574,127.056107
"268","동소문로13길",37.5892447,127.0076148
"269","동소문로15길",37.5892447,127.0076148
"270","동소문로26가길",37.5892447,127.0076148
"271","동소문로2길",37.5892447,127.0076148
"272","동소문로6길",37.5892447,127.0076148
"273","보국문로16길",37.60610409,127.0113755
"274","보문로13길",37.57669434,127.0229296
"275","보문로26길",37.57669434,127.0229296
"276","보문로31길",37.57669434,127.0229296
"277","보문로32길",37.57669434,127.0229296
"278","삼선교로10길",37.58773416,127.0069084
"279","삼선교로10다길",37.58773416,127.0069084
"280","삼선교로16가길",37.58773416,127.0069084
"281","삼양로8길",37.607129,127.02369
"282","성북로8길",37.588701,127.006513
"283","솔샘로6길",37.61306013,127.0067461
"284","아리랑로4길",37.593202,127.017443
"285","안암로5길",37.57914465,127.023442
"286","오패산로19길",37.609352,127.034122
"287","오패산로3길",37.609352,127.034122
"288","오패산로4길",37.609352,127.034122
"289","인촌로17가길",37.586274,127.028729
"290","인촌로1길",37.586274,127.028729
"291","개운사길",37.588245,127.029257
"292","인촌로24길",37.586274,127.028729
"293","인촌로5길",37.586274,127.028729
"294","인촌로6길",37.586274,127.028729
"295","장월로1길",37.605148,127.044098
"296","장위로50길",37.61395339,127.0422058
"297","정릉로26길",37.603727,127.011704
"298","정릉로27길",37.603727,127.011704
"299","정릉로8길",37.603727,127.011704
"300","종암로16길",37.597635,127.035064
"301","종암로19길",37.597635,127.035064
"302","종암로21길",37.597635,127.035064
"303","종암로24가길",37.597635,127.035064
"304","종암로5길",37.597635,127.035064
"305","지봉로20길",37.571899,127.0159788
"306","창경궁로43길",37.56559334,126.9979752
"307","한천로101가길",37.5704795,127.0646198
"308","한천로76길",37.5704795,127.0646198
"309","화랑로13길",37.539517,126.989501
"310","화랑로14길",37.539517,126.989501
"311","화랑로19길",37.539517,126.989501
"312","화랑로1길",37.539517,126.989501
"313","화랑로32길",37.539517,126.989501
"314","화랑로40길",37.539517,126.989501
"315","노해로17길",37.63705161,127.0226551
"316","노해로23길",37.63705161,127.0226551
"317","노해로33길",37.63705161,127.0226551
"318","덕릉로40길",37.63404944,127.0180438
"319","덕릉로41길",37.63404944,127.0180438
"320","도봉로13길",37.61872738,127.0288197
"321","도봉로18길",37.61872738,127.0288197
"322","도봉로45길",37.61872738,127.0288197
"323","도봉로67길",37.61872738,127.0288197
"324","도봉로76길",37.61872738,127.0288197
"325","도봉로8길",37.61872738,127.0288197
"326","도봉로99길",37.61872738,127.0288197
"327","삼각산로28길",37.639097,127.020091
"328","삼양로20길",37.607129,127.02369
"329","삼양로24길",37.607129,127.02369
"330","삼양로27길",37.607129,127.02369
"331","삼양로41길",37.607129,127.02369
"332","삼양로54길",37.607129,127.02369
"333","삼양로77길",37.607129,127.02369
"334","삼양로93길",37.607129,127.02369
"335","솔매로41길",37.62540227,127.0169657
"336","솔매로45길",37.62540227,127.0169657
"337","솔매로50길",37.62540227,127.0169657
"338","솔샘로65길",37.61306013,127.0067461
"339","수유로12길",37.63192787,127.0185746
"340","오패산로30길",37.609352,127.034122
"341","오패산로52길",37.609352,127.034122
"342","오패산로67길",37.609352,127.034122
"343","인수봉로56길",37.636852,127.012907
"344","인수봉로72길",37.636852,127.012907
"345","인수봉로79길",37.636852,127.012907
"346","한천로109길",37.5704795,127.0646198
"347","한천로124나길",37.5704795,127.0646198
"348","한천로130길",37.5704795,127.0646198
"349","한천로132길",37.5704795,127.0646198
"350","한천로139가길",37.5704795,127.0646198
"351","한천로140길",37.5704795,127.0646198
"352","노해로60길",37.63705161,127.0226551
"353","노해로63다길",37.63705161,127.0226551
"354","덕릉로60길",37.63404944,127.0180438
"355","도당로13가길",37.65959564,127.0343345
"356","도당로13바길",37.65959564,127.0343345
"357","도당로19길",37.65959564,127.0343345
"358","도당로29길",37.65959564,127.0343345
"359","도봉로109길",37.61872738,127.0288197
"360","도봉로114길",37.61872738,127.0288197
"361","도봉로143길",37.61872738,127.0288197
"362","도봉로147길",37.61872738,127.0288197
"363","도봉로152가길",37.61872738,127.0288197
"364","도봉로156길",37.61872738,127.0288197
"365","도봉로169나길",37.61872738,127.0288197
"366","도봉로181길",37.61872738,127.0288197
"367","도봉산4길",37.61872738,127.0288197
"368","도봉산길",37.61872738,127.0288197
"369","방학로10길",37.662534,127.034583
"370","방학로15길",37.662534,127.034583
"371","방학로5길",37.662534,127.034583
"372","방학로6가길",37.662534,127.034583
"373","삼양로144길",37.607129,127.02369
"374","시루봉로23길",37.662117,127.029959
"375","우이천로32길",37.6489,127.025328
"376","우이천로4다길",37.6489,127.025328
"377","해등로16길",37.654279,127.046012
"378","공릉로58길",37.61170879,127.0777932
"379","동일로173가길",37.654307,127.060636
"380","동일로192길",37.654307,127.060636
"381","동일로242길",37.654307,127.060636
"382","상계로12길",37.660508,127.072894
"383","상계로1길",37.660508,127.072894
"384","상계로9가길",37.660508,127.072894
"385","석계로1길",37.623032,127.060972
"386","한글비석로22길",37.661051,127.074159
"387","한글비석로24길",37.661051,127.074159
"388","한글비석로44길",37.661051,127.074159
"389","가좌로7길",37.585974,126.918996
"390","갈현로1길",37.59810723,126.9098529
"391","갈현로33길",37.59810723,126.9098529
"392","갈현로41길",37.59810723,126.9098529
"393","갈현로7길",37.59810723,126.9098529
"394","불광천길",37.592104,126.914768
"395","서오릉로21길",37.60302374,126.9255577
"396","서오릉로8길",37.60302374,126.9255577
"397","수색로18길",37.56894404,126.916614
"398","역말로9길",37.60570041,126.9113216
"399","연서로11길",37.608577,126.913109
"400","연서로13길",37.608577,126.913109
"401","연서로16길",37.608577,126.913109
"402","연서로17길",37.608577,126.913109
"403","연서로21길",37.608577,126.913109
"404","연서로27길",37.608577,126.913109
"405","연서로28길",37.608577,126.913109
"406","연서로29길",37.608577,126.913109
"407","연서로33길",37.608577,126.913109
"408","연서로34길",37.608577,126.913109
"409","연서로3길",37.608577,126.913109
"410","연서로41길",37.608577,126.913109
"411","연서로5길",37.608577,126.913109
"412","은평로10길",37.5968846,126.9098229
"413","은평로13길",37.5968846,126.9098229
"414","은평로20길",37.5968846,126.9098229
"415","은평로3길",37.5968846,126.9098229
"416","은평로8길",37.5968846,126.9098229
"417","응암로12길",37.587764,126.918218
"418","응암로13길",37.587764,126.918218
"419","응암로14길",37.587764,126.918218
"420","응암로22길",37.587764,126.918218
"421","응암로34길",37.587764,126.918218
"422","증산로13길",37.584231,126.910223
"423","증산로15길",37.584231,126.910223
"424","증산로17길",37.584231,126.910223
"425","증산로21길",37.584231,126.910223
"426","증산로5길",37.584231,126.910223
"427","증산로9길",37.584231,126.910223
"428","증산서길",37.584231,126.910223
"429","진흥로12길",37.610397,126.928713
"430","진흥로1길",37.610397,126.928713
"431","통일로69길",37.565065,126.965662
"432","통일로78길",37.565065,126.965662
"433","통일로87길",37.565065,126.965662
"434","통일로92길",37.565065,126.965662
"435","가재울로6길",37.577742,126.921411
"436","독립문로8길",37.56961,126.96106
"437","명지대길",37.583781,126.923182
"438","모래내로15길",37.568898,126.914459
"439","북아현로4길",37.55782674,126.9564391
"440","세검정로1길",37.609442,126.974288
"441","세무서2길",37.588632,126.94741
"442","세무서길",37.588632,126.94741
"443","수색로8길",37.56894404,126.916614
"444","신촌로37길",37.55502,126.936499
"445","연희로10길",37.564989,126.929578
"446","응암로1길",37.587764,126.918218
"447","증가로10길",37.56937734,126.9317534
"448","증가로20가길",37.56937734,126.9317534
"449","증가로23나길",37.56937734,126.9317534
"450","증가로6길",37.56937734,126.9317534
"451","충정로4길",37.565071,126.966209
"452","충정로6길",37.565071,126.966209
"453","통일로11길",37.565065,126.965662
"454","통일로37길",37.565065,126.965662
"455","통일로39길",37.565065,126.965662
"456","홍연길",37.576238,126.930367
"457","홍제내길",37.589573,126.943147
"458","광성로6길",37.547884,126.939473
"459","대흥로21길",37.556569,126.945771
"460","대흥로28길",37.556569,126.945771
"461","도화4길",37.540629,126.949044
"462","도화길",37.540629,126.949044
"463","독막로22길",37.54823391,126.915792
"464","독막로32길",37.54823391,126.915792
"465","독막로8길",37.54823391,126.915792
"466","동교로17길",37.555957,126.914775
"467","동교로19길",37.555957,126.914775
"468","동교로25길",37.555957,126.914775
"469","동교로27길",37.555957,126.914775
"470","동교로38길",37.555957,126.914775
"471","마포대로12길",37.53786556,126.9443927
"472","마포대로20길",37.53786556,126.9443927
"473","마포대로4길",37.53786556,126.9443927
"474","만리재옛길",37.548438,126.9573
"475","망원로11길",37.55609166,126.8981337
"476","망원로2길",37.55609166,126.8981337
"477","매봉산로2길",37.545097,127.01608
"478","모래내로7길",37.568898,126.914459
"479","방울내로9안길",37.55992,126.902754
"480","백범로16길",37.545766,126.946785
"481","성미산로11길",37.55843705,126.9094307
"482","성미산로1길",37.55843705,126.9094307
"483","성미산로32길",37.55843705,126.9094307
"484","성산로4길",37.567442,126.916694
"485","성지3길",37.548393,126.915891
"486","숭문8길",37.549501,126.947944
"487","숭문길",37.549501,126.947944
"488","신촌로12길",37.55502,126.936499
"489","신촌로28가길",37.55502,126.936499
"490","신촌로30길",37.55502,126.936499
"491","양화로11길",37.54879733,126.9101513
"492","양화로1길",37.54879733,126.9101513
"493","양화진길",37.54879733,126.9101513
"494","와우산로29가길",37.54714728,126.9228015
"495","와우산로29길",37.54714728,126.9228015
"496","와우산로3길",37.54714728,126.9228015
"497","월드컵로10길",37.554274,126.911747
"498","월드컵로11길",37.554274,126.911747
"499","월드컵로16길",37.554274,126.911747
"500","월드컵로19길",37.554274,126.911747
"501","월드컵로25길",37.554274,126.911747
"502","월드컵로36길",37.554274,126.911747
"503","월드컵로7길",37.554274,126.911747
"504","월드컵로8길",37.554274,126.911747
"505","토정로37길",37.539753,126.946413
"506","효창원로93길",37.53549743,126.953606
"507","가로공원로58길",37.533058,126.824774
"508","곰달래로10길",37.52965506,126.8338957
"509","곰달래로2길",37.52965506,126.8338957
"510","곰달래로3길",37.52965506,126.8338957
"511","곰달래로5길",37.52965506,126.8338957
"512","남부순환로33길",37.478376,126.895573
"513","남부순환로33길",37.511827,126.840417
"514","남부순환로40길",37.478376,126.895573
"515","남부순환로40길",37.511827,126.840417
"516","남부순환로58길",37.478376,126.895573
"517","남부순환로58길",37.511827,126.840417
"518","남부순환로70길",37.478376,126.895573
"519","남부순환로70길",37.511827,126.840417
"520","남부순환로79길",37.478376,126.895573
"521","남부순환로79길",37.511827,126.840417
"522","남부순환로88길",37.478376,126.895573
"523","남부순환로88길",37.511827,126.840417
"524","목동남로4길",37.508972,126.864909
"525","목동동로12길",37.508972,126.864909
"526","목동동로8길",37.508972,126.864909
"527","목동로19길",37.508972,126.864909
"528","목동로9길",37.508972,126.864909
"529","목동중앙남로3가길",37.508972,126.864909
"530","목동중앙로13나길",37.508972,126.864909
"531","목동중앙로3길",37.508972,126.864909
"532","목동중앙본로7길",37.508972,126.864909
"533","목동중앙북로16길",37.508972,126.864909
"534","목동중앙북로8길",37.508972,126.864909
"535","목동중앙서로7길",37.508972,126.864909
"536","목동중앙서로8가길",37.508972,126.864909
"537","신목로2길",37.521444,126.873777
"538","신목로5길",37.521444,126.873777
"539","신목로6길",37.521444,126.873777
"540","신월로15길",37.520068,126.852659
"541","신월로20길",37.520068,126.852659
"542","오목로23길",37.52757,126.849162
"543","오목로30길",37.52757,126.849162
"544","오목로3길",37.52757,126.849162
"545","오목로5길",37.52757,126.849162
"546","은행정로5길",37.5201944,126.8595717
"547","은행정로7길",37.5201944,126.8595717
"548","중앙로25길",37.483374,126.954127
"549","중앙로32길",37.483374,126.954127
"550","중앙로36길",37.483374,126.954127
"551","중앙로45길",37.483374,126.954127
"552","중앙로47길",37.483374,126.954127
"553","중앙로51길",37.483374,126.954127
"554","중앙로55길",37.483374,126.954127
"555","지양로7길",37.51743543,126.8377796
"556","화곡로3길",37.541482,126.83992
"557","화곡로4길",37.541482,126.83992
"558","가로공원로76가길",37.533058,126.824774
"559","가로공원로80길",37.533058,126.824774
"560","강서로15길",37.532104,126.842198
"561","강서로17가길",37.532104,126.842198
"562","강서로18길",37.532104,126.842198
"563","강서로29길",37.532104,126.842198
"564","강서로35길",37.532104,126.842198
"565","강서로45길",37.532104,126.842198
"566","강서로45다길",37.532104,126.842198
"567","강서로47길",37.532104,126.842198
"568","강서로47라길",37.532104,126.842198
"569","강서로5가길",37.532104,126.842198
"570","강서로5나길",37.532104,126.842198
"571","강서로5라길",37.532104,126.842198
"572","강서로8길",37.532104,126.842198
"573","개화동로23길",37.564826,126.811432
"574","개화동로25길",37.564826,126.811432
"575","곰달래로25길",37.52965506,126.8338957
"576","곰달래로31길",37.52965506,126.8338957
"577","곰달래로47길",37.52965506,126.8338957
"578","곰달래로53길",37.52965506,126.8338957
"579","곰달래로60길",37.52965506,126.8338957
"580","공항대로38길",37.56059427,126.8119924
"581","공항대로42길",37.56059427,126.8119924
"582","공항대로55길",37.56059427,126.8119924
"583","공항대로59길",37.56059427,126.8119924
"584","공항대로59다길",37.56059427,126.8119924
"585","공항대로61길",37.56059427,126.8119924
"586","공항대로8길",37.56059427,126.8119924
"587","국회대로7길",37.486749,126.939445
"588","까치산로4길",37.5405025,126.841889
"589","남부순환로11길",37.478376,126.895573
"590","남부순환로11길",37.511827,126.840417
"591","등촌로13길",37.543685,126.862296
"592","등촌로39길",37.543685,126.862296
"593","등촌로51길",37.543685,126.862296
"594","등촌로55길",37.543685,126.862296
"595","등촌로5길",37.543685,126.862296
"596","방화대로21길",37.565178,126.816568
"597","방화대로6라길",37.565178,126.816568
"598","양천로14길",37.570342,126.809273
"599","양천로24가길",37.570342,126.809273
"600","양천로24길",37.570342,126.809273
"601","양천로26길",37.570342,126.809273
"602","양천로49길",37.570342,126.809273
"603","양천로71길",37.570342,126.809273
"604","양천로73가길",37.570342,126.809273
"605","우장산로6길",37.548917,126.836469
"606","월정로20길",37.5215875,126.8436749
"607","초록마을로3길",37.54544781,126.8453895
"608","초록마을로8길",37.54544781,126.8453895
"609","초원로16길",37.561097,126.81308
"610","화곡로13길",37.541482,126.83992
"611","화곡로20길",37.541482,126.83992
"612","화곡로31길",37.541482,126.83992
"613","화곡로44나길",37.541482,126.83992
"614","화곡로59길",37.541482,126.83992
"615","화곡로64길",37.541482,126.83992
"616","개봉로11길",37.48665731,126.8560469
"617","개봉로17길",37.48665731,126.8560469
"618","개봉로17다길",37.48665731,126.8560469
"619","개봉로1길",37.48665731,126.8560469
"620","개봉로20길",37.48665731,126.8560469
"621","개봉로23가길",37.48665731,126.8560469
"622","개봉로2길",37.48665731,126.8560469
"623","개봉로3길",37.48665731,126.8560469
"624","경인로15길",37.49042676,126.822523
"625","경인로31길",37.49042676,126.822523
"626","경인로35길",37.49042676,126.822523
"627","경인로47길",37.49042676,126.822523
"628","고척로21나길",37.49664186,126.8396842
"629","고척로27길",37.49664186,126.8396842
"630","고척로27다길",37.49664186,126.8396842
"631","고척로52길",37.49664186,126.8396842
"632","공원로6가길",37.503524,126.889889
"633","구로동로15길",37.487803,126.88206
"634","구로동로28길",37.487803,126.88206
"635","구로동로38길",37.487803,126.88206
"636","구로동로41길",37.487803,126.88206
"637","구로동로42길",37.487803,126.88206
"638","구로동로7길",37.487803,126.88206
"639","구로동로8길",37.487803,126.88206
"640","구로중앙로19길",37.487803,126.88206
"641","구로중앙로28길",37.487803,126.88206
"642","구로중앙로34길",37.487803,126.88206
"643","구로중앙로42길",37.487803,126.88206
"644","구로중앙로7길",37.487803,126.88206
"645","구로중앙로8길",37.487803,126.88206
"646","남부순환로97길",37.478376,126.895573
"647","남부순환로97길",37.511827,126.840417
"648","도림로12길",37.502876,126.900372
"649","도림로6길",37.502876,126.900372
"650","디지털로27길",37.47410976,126.8705543
"651","디지털로32가길",37.47410976,126.8705543
"652","디지털로32길",37.47410976,126.8705543
"653","부일로11길",37.493293,126.831732
"654","부일로15길",37.493293,126.831732
"655","부일로1길",37.493293,126.831732
"656","새말로18길",37.50198639,126.8831457
"657","신도림로13길",37.508048,126.880394
"658","오류로8길",37.494248,126.844553
