"","seoul_attractions","lon","lat","address"
"56","선정릉",127.0522301,37.5070029,"1 seolleung-ro 100-gil, samseong-dong, gangnam-gu, seoul, south korea"
"57","운현궁",126.987052,37.576034,"464 samil-daero, unni-dong, jongno-gu, seoul, south korea"
"58","서울로 7017",126.9752311,37.5565311,"seoullo 7017, 18 toegye-ro, hoehyeon-dong, jung-gu, seoul, south korea"
"59","관악산",126.9610024,37.4429385,"gwanaksan, jungang-dong, gwacheon-si"
"60","신촌동",126.9435838,37.5594793,"sinchon-dong, seodaemun-gu, seoul, south korea"
"61","세빛섬",126.9947194,37.5116807,"서울특별시 반포동 세빛둥둥섬"
"62","여의도공원",126.918916,37.523816,"yeouido park, 68 yeouigongwon-ro, yeoeuido-dong, yeongdeungpo-gu, seoul, south korea"
"63","코엑스 아쿠아리움",127.0582827,37.513131,"513 yeongdong-daero, samseong-dong, gangnam-gu, 서울특별시 south korea"
"64","대학로",127.0020331,37.5769696,"daehak-ro, jongno-gu, seoul, south korea"
"65","뮤지엄김치간",126.984875,37.573575,"35-4 insadong-gil, gwanhun-dong, jongno-gu, seoul, south korea"
"66","낙산공원",127.0074835,37.5806571,"naksan park, 41 naksan-gil, ihwa-dong, jongno-gu, seoul, south korea"
"67","서울역사박물관",126.9705674,37.5704837,"55 saemunan-ro, sajik-dong, jongno-gu, seoul, south korea"
"68","근정전",126.9769845,37.5785225,"37 samcheong-ro, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"69","별마당 도서관",127.0602751,37.5099631,"955-9 daechi-dong, gangnam-gu, seoul, south korea"
"70","도봉산",127.0156843,37.7004635,"dobongsan, dobong-dong, seoul"
"71","탑골공원",126.9883295,37.5711455,"tapgol park, 99 jong-ro, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"72","창덕궁 후원",126.9929781,37.5823645,"secret garden, myeongnyun 3(sam)ga, jongno-gu, seoul, south korea"
"73","서울광장",126.9780251,37.5655906,"110 sejong-daero, euljiro 1(il)-ga, jung-gu, seoul, south korea"
"74","삼청동길",126.981913,37.5837896,"samcheong-dong, jongno-gu, seoul, south korea"
"75","광명동굴",126.8664843,37.4264944,"142 gahak-ro 85(palsibo)beon-gil, hagon-dong, gwangmyeong-si, gyeonggi-do, south korea"
"76","박물관은살아있다 인사동점",126.9872086,37.5718407,"12 insadong-gil, insa-dong, jongno-gu, seoul, south korea"
"77","석촌호수공원",127.1030184,37.5097431,"songpa naru park (seokchon lake park), 47 jamsil-dong, songpa-gu, seoul, south korea"
"78","일산 호수공원",126.7662508,37.6567441,"ilsan lake park, 595 hosu-ro, janghang-dong, ilsandong-gu, goyang-si, gyeonggi-do, south korea"
"79","서울시립미술관",126.9737793,37.5640253,"61 deoksugung-gil, seosomun-dong, jung-gu, seoul, south korea"
"80","남산공원",126.9908991,37.5509895,"namsan mountain park, 231 samil-daero, yongsan 2(i)ga-dong, jung-gu, seoul, south korea"
"81","뚝섬한강공원",127.0713459,37.5291281,"south korea, seoul, gwangjin-gu, jayang-dong, 704-1 ttukseom han river park"
"82","선유도공원",126.8996445,37.5437306,"seonyudo hangang park, 1 dangsan-dong, yeongdeungpo-gu, seoul, south korea"
"83","반포한강공원",126.994744,37.5097812,"banpo hangang park, 40 sinbanpo-ro 11-gil, banpo-dong, seocho-gu, seoul, south korea"
"84","청계광장",126.9779139,37.5692289,"148 seorin-dong, jongno-gu, seoul, south korea"
"85","세종문화회관",126.9756429,37.5725254,"175 sejong-daero, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"86","북한산성",126.9732418,37.6469557,"south korea, gyeonggi-do, goyang-si, deokyang-gu, 북한동 산1-1"
"87","보신각",126.9837167,37.5697987,"54 jong-ro, gwancheol-dong, jongno-gu, seoul, south korea"
"88","서울스카이",127.1026942,37.5126108,"300 olympic-ro, sincheon-dong, songpa-gu, seoul, south korea"
"89","경회루",-73.980257,40.845,"1355 16th st, fort lee, nj 07024, usa"
"90","통인시장",126.9699822,37.5807168,"18 jahamun-ro 15-gil, cheongunhyoja-dong, jongno-gu, seoul, south korea"
"91","홍대앞예술시장프리마켓",126.9229717,37.5521258,"19-3 wausan-ro 21-gil, seogyo-dong, mapo-gu, seoul, south korea"
"92","월드컵공원",126.8973166,37.5639074,"world cup park (월드컵공원), 243-60 woldeukeom-ro, seongsan 2(i)-dong, mapo-gu, seoul, south korea"
"93","러브뮤지엄 Love Museum",126.921645,37.553478,"홍익로 3길 20 서교프라자 b1 러브뮤지엄, b1 floor, seogyo plaza 20 hongikro 3gil, mapogu, seoul, mapo-gu, seoul, south korea"
"94","익선동 한옥거리",126.9897584,37.5734064,"ikseon-dong, jongno-gu, seoul, south korea"
"95","한국의 집",-122.0878906,37.6722965,"702 a st, hayward, ca 94541, usa"
"96","서울중앙성원",126.9975409,37.5333532,"39 usadan-ro 10-gil, hannam-dong, yongsan-gu, seoul, south korea"
"97","한복남 경복궁점",126.9732928,37.5761968,"133-5 sajik-ro, sajik-dong, jongno-gu, seoul, south korea"
"98","롯데월드 민속박물관",127.0977372,37.5111826,"40-1 jamsil-dong, songpa-gu, seoul, south korea"
"99","아차산",127.1037627,37.5715087,"achasan, gyomun 1(il)-dong, guri-si"
